district_no,seats ,JxC,FdT,Lib-Cons,FIT-U,We Go With You,Others
1,35,3550321,3444446,933380,609158,389295,0
2,13,867044,461514,313808,142581,0,56369
3,3,75625,103144,0,8728,10150,5991
4,4,258654,269441,0,15169,12464,49502
5,2,110649,82134,0,24941,0,73675
6,9,1064246,206795,135822,69755,491969,0
7,3,325710,214694,0,0,14146,0
8,5,436013,276883,29569,27946,16710,11282
9,2,134445,186991,0,0,0,2030
10,3,198300,104496,0,100892,0,0
11,3,101717,89813,0,9147,6199,4984
12,2,49837,100055,17092,7721,0,3446
13,5,490182,282695,38210,48395,0,129274
14,3,257323,96310,22996,22336,0,230817
15,3,140303,66070,0,31153,30884,112027
16,2,102579,101844,0,18192,7749,146657
17,3,188162,205853,0,46397,0,187026
18,3,173069,179000,0,23487,35142,0
19,3,140563,128801,0,5365,0,0
20,3,57921,45436,0,11660,0,50058
21,9,733360,570498,102613,39063,222740,150692
22,3,72932,402802,4173,5444,26307,48085
23,2,27584,37692,6403,3883,0,19502
24,4,386819,408245,101350,34105,37377,0
