district_no,seats,PiS,SLD,RuchPalikota,PSL,PO,MN
1,12,95277,45825,39899,17985,136683,0
2,8,54271,20177,28853,13832,102368,0
3,14,127311,26754,47626,21946,250869,0
4,12,80632,38001,44447,30509,158938,0
5,13,91049,35253,37741,33443,140681,0
6,15,177543,29799,54139,57606,116252,0
7,12,124084,24513,38296,57882,63005,0
8,12,72302,34300,38958,25575,148970,0
9,10,90558,35069,39204,9750,171750,0
10,9,103472,23988,23010,34789,66889,0
11,12,109205,29933,35623,42671,106601,0
12,8,91220,16438,21137,14074,85670,0
13,14,156800,27504,45079,22574,224915,0
14,10,143543,11750,13022,19387,77809,0
15,9,112982,13863,17017,25833,76688,0
16,10,93307,20798,23175,51766,78623,0
17,9,103798,19828,22056,36488,67349,0
18,12,139926,24418,23490,61136,77181,0
19,20,277577,78020,110589,17755,498599,0
20,12,145893,23739,38482,32064,182123,0
21,12,65739,24723,30919,18816,140641,28014
22,11,133320,18407,21044,37702,75403,0
23,15,219629,25649,30718,47832,111871,0
24,14,158572,40603,34397,47338,127224,0
25,12,102131,25542,37615,19313,219106,0
26,14,113647,36190,43264,25485,220245,0
27,9,98152,19881,29338,21143,131471,0
28,7,61429,23547,30049,19688,78500,0
29,9,65724,21932,30320,14028,140272,0
30,9,75504,20908,23804,9206,118524,0
31,12,98737,25704,43884,11237,195018,0
32,9,59453,36460,41504,12281,120530,0
33,16,138039,42096,38331,85590,109916,0
34,8,45403,15091,22659,23870,82904,0
35,10,59996,23020,29122,30713,108522,0
36,12,82114,40250,34367,43278,125596,0
37,9,71795,34289,29236,33590,80857,0
38,9,50023,29638,28633,31192,113226,0
39,10,76772,33764,46750,11960,220354,0
40,8,45558,24474,26582,13756,99506,0
41,12,82529,42165,45111,16545,178124,0
