district_no,seats,PiS,PO,PSL,Kukiz’15,Nowoczesna,MN
1,12,127370,90060,13886,34229,25506,0
2,8,72929,76424,7448,20634,15544,0
3,14,163323,159582,13604,45726,55756,0
4,12,113024,110948,22701,29080,27334,0
5,13,121703,93432,24476,30159,23563,0
6,15,232014,80892,37733,45448,22158,0
7,12,163122,41823,38689,35567,12745,0
8,12,97877,97676,17743,30284,34586,0
9,10,107350,112333,9710,25992,32274,0
10,9,134134,44173,21364,28808,15983,0
11,12,147623,78314,29044,32973,19681,0
12,8,133213,55454,8226,23551,15731,0
13,14,209607,133558,14644,39379,52822,0
14,10,188010,43309,12929,24318,11468,0
15,9,151623,42887,23552,28005,13233,0
16,10,131431,49353,31994,25257,15451,0
17,9,130758,48332,25933,23149,13233,0
18,12,191733,50858,38396,31378,17386,0
19,20,327342,301672,7882,84937,146629,0
20,12,190355,123227,18666,35418,49098,0
21,12,93926,88731,12464,42533,24152,27530
22,11,174900,44971,23805,29919,12981,0
23,15,284642,66516,23667,47071,21106,0
24,14,197575,72894,35116,39509,23361,0
25,12,126466,148305,12904,30536,39184,0
26,14,145698,156147,15064,37410,38344,0
27,9,136330,79506,11533,31570,27882,0
28,7,84773,49580,11799,27521,15942,0
29,9,89584,85130,7342,35793,26122,0
30,9,114799,70188,5197,32794,18341,0
31,12,135367,116658,4064,41344,35591,0
32,9,84410,72755,6687,29161,25522,0
33,16,200652,80866,44574,44115,23360,0
34,8,63236,60359,13411,16514,11668,0
35,10,80970,72055,22458,23888,18141,0
36,12,115668,89668,39874,28996,25557,0
37,9,103781,56111,19027,24486,19237,0
38,9,73665,83845,20712,24359,18859,0
39,10,97975,146141,7809,24825,59387,0
40,8,62032,65262,8972,20428,17488,0
41,12,110697,121479,14776,32030,32964,0
