district_no,seats,KO,AZEiR,KONFEDERACJA,PSL,PRAWICA,PiS,SKUTECZNI,SLD,BEZPARTYJNI,MN
1,12,108191,0,25319,31006,0,183364,0,71061,13495,0
2,8,90812,0,15346,20528,0,114728,0,34957,6631,0
3,14,214629,0,48775,42269,0,226915,0,100843,21024,0
4,12,142844,0,32406,41497,0,167550,0,69763,5922,0
5,13,119526,0,28625,49225,0,182648,0,67076,5230,0
6,15,109185,0,40012,51474,0,313284,0,44152,7490,0
7,12,59401,0,23439,47604,0,238802,0,27404,4668,0
8,12,136955,0,31490,50943,0,150188,0,68341,0,0
9,10,148830,0,27627,18828,0,136731,0,83524,0,0
10,9,54160,0,23427,36151,0,194658,0,37930,0,0
11,12,94268,0,27054,47373,0,229245,0,55116,7183,0
12,8,72869,0,22334,24996,0,169106,0,26909,0,0
13,14,197930,0,51855,47219,1765,256847,0,84457,9214,0
14,10,51183,0,25747,27203,0,243583,0,22483,0,0
15,9,48597,0,24695,46333,0,206845,0,20618,0,0
16,10,62429,0,19405,56227,0,194371,0,32448,5681,0
17,9,57449,0,19724,34185,0,193709,2503,24884,2555,0
18,12,63124,1412,29390,54085,0,270641,0,29235,5019,0
19,20,581077,0,103843,65683,0,379880,0,251434,0,0
20,12,171286,0,39675,51484,0,244823,0,78348,13111,0
21,12,108570,0,23176,41901,0,152999,0,47699,0,32094
22,11,62246,0,26615,30655,0,247488,0,23577,0,0
23,15,84703,0,48600,45868,0,367268,3530,38817,0,0
24,14,109527,1775,36207,48566,0,270888,2272,47342,4001,0
25,12,218484,0,38153,31203,0,169753,0,71236,0,0
26,14,208208,0,42364,46132,0,211582,0,72436,0,0
27,9,105876,0,28900,27752,0,182027,0,44701,0,0
28,7,64374,0,17278,24704,0,125990,0,44354,7817,0
29,9,111078,0,26114,20408,0,128579,0,45583,8885,0
30,9,92493,0,23939,18816,0,161160,0,32300,5128,0
31,12,174683,0,34416,20512,0,184030,0,55992,0,0
32,9,99499,0,21650,16263,0,124553,0,73466,0,0
33,16,94880,0,33895,56289,0,314455,8273,56699,5400,0
34,8,71320,0,14187,27319,0,102478,0,29196,6319,0
35,10,87780,0,23134,43758,0,128760,2340,45912,0,0
36,12,113489,0,30177,58759,0,195053,0,61674,0,0
37,9,72295,2261,23810,34620,0,166965,0,53090,0,0
38,9,106810,0,23123,48371,0,124392,0,46355,0,0
39,10,233474,0,34024,31875,0,130319,0,84835,0,0
40,8,87799,0,16259,25632,0,100078,0,41943,0,0
41,12,168022,0,30744,34807,0,165200,0,71756,0,0
