district_no,seats,KO,KONFEDERACJA,PSL,PiS,SLD,MN
1,12,108191,25319,31006,183364,71061,0
2,8,90812,15346,20528,114728,34957,0
3,14,214629,48775,42269,226915,100843,0
4,12,142844,32406,41497,167550,69763,0
5,13,119526,28625,49225,182648,67076,0
6,15,109185,40012,51474,313284,44152,0
7,12,59401,23439,47604,238802,27404,0
8,12,136955,31490,50943,150188,68341,0
9,10,148830,27627,18828,136731,83524,0
10,9,54160,23427,36151,194658,37930,0
11,12,94268,27054,47373,229245,55116,0
12,8,72869,22334,24996,169106,26909,0
13,14,197930,51855,47219,256847,84457,0
14,10,51183,25747,27203,243583,22483,0
15,9,48597,24695,46333,206845,20618,0
16,10,62429,19405,56227,194371,32448,0
17,9,57449,19724,34185,193709,24884,0
18,12,63124,29390,54085,270641,29235,0
19,20,581077,103843,65683,379880,251434,0
20,12,171286,39675,51484,244823,78348,0
21,12,108570,23176,41901,152999,47699,32094
22,11,62246,26615,30655,247488,23577,0
23,15,84703,48600,45868,367268,38817,0
24,14,109527,36207,48566,270888,47342,0
25,12,218484,38153,31203,169753,71236,0
26,14,208208,42364,46132,211582,72436,0
27,9,105876,28900,27752,182027,44701,0
28,7,64374,17278,24704,125990,44354,0
29,9,111078,26114,20408,128579,45583,0
30,9,92493,23939,18816,161160,32300,0
31,12,174683,34416,20512,184030,55992,0
32,9,99499,21650,16263,124553,73466,0
33,16,94880,33895,56289,314455,56699,0
34,8,71320,14187,27319,102478,29196,0
35,10,87780,23134,43758,128760,45912,0
36,12,113489,30177,58759,195053,61674,0
37,9,72295,23810,34620,166965,53090,0
38,9,106810,23123,48371,124392,46355,0
39,10,233474,34024,31875,130319,84835,0
40,8,87799,16259,25632,100078,41943,0
41,12,168022,30744,34807,165200,71756,0
