district_no,seats,ADN,BE,CH,E,IL,JPP,L,MPTA,NC,ND,PAN,PCP-PEV,PCTP-MRPP,PPD-PSDCDS-PP,PPD-PSDCDS-PPPPM,PPM,PS,PTP,RIR,VP
1,16,5753,17358,73110,362,21671,0,9510,206,0,1076,7300,5850,1215,0,148861,0,117348,0,1933,610
2,3,861,3393,16595,95,1708,0,1369,0,0,106,943,11570,624,0,12890,0,24408,0,181,147
3,19,9964,21388,93826,515,33930,590,12926,673,534,2616,7935,10136,1897,0,184468,0,157099,0,2234,771
4,3,1587,1404,13216,109,1245,0,727,52,0,316,598,773,0,0,29077,0,21538,0,169,0
5,4,1491,4451,21131,100,2959,0,2171,0,0,315,1427,2372,441,0,30803,0,37052,0,367,168
6,9,2421,12334,37412,187,9587,185,6880,140,0,577,3835,6816,0,0,74019,0,79086,0,730,427
7,3,838,3816,17846,81,2227,0,1773,41,0,160,991,9771,0,0,20049,0,29309,0,273,151
8,9,4926,13579,64228,330,10761,611,6501,0,0,782,6098,7518,0,0,52885,0,60123,0,1074,591
9,3,2181,2301,15821,165,1913,0,1151,80,0,292,821,1332,0,0,29033,0,27133,0,289,95
10,10,4560,11736,53764,340,15446,0,7197,306,0,741,4645,6600,0,0,96311,0,61535,0,1141,552
11,48,19074,65438,224526,1000,86847,848,72102,1174,0,2365,32829,49257,4464,0,356698,0,365838,1331,2854,2963
12,2,631,1894,14915,54,1146,0,873,31,0,121,506,3604,303,0,14132,0,20658,0,176,53
13,40,19585,51909,170910,740,64050,1150,37319,0,788,1786,23415,26343,3444,0,339096,0,338084,0,9163,1647
14,9,3505,11204,58554,363,9492,0,6186,295,0,463,3926,10343,0,0,68493,0,69915,0,951,567
15,19,7661,30161,102077,558,26941,430,21552,438,0,1235,12856,38841,2363,0,86297,0,157166,393,1323,965
16,5,2263,4926,26635,147,5106,0,2813,204,0,706,2057,3106,0,0,49613,0,40237,0,624,255
17,5,2958,2865,20032,117,2378,0,1592,0,0,278,1062,1599,0,0,46040,0,34654,0,319,122
18,8,6615,5846,41159,164,5948,0,3566,179,0,544,2554,2905,0,0,76927,0,58077,0,831,342
19,6,2348,4404,26296,239,5827,14344,1864,228,305,0,3127,2429,0,52992,0,451,29723,719,725,283
20,5,829,3622,16744,64,2882,213,1816,0,0,0,1654,1160,0,0,42343,0,31015,0,125,115
21,2,953,6438,42972,182,5719,560,4091,120,509,502,5174,2363,748,0,33350,0,38061,0,453,761
22,2,1128,1847,18067,122,1902,202,697,100,260,1461,2332,748,0,0,22636,0,14410,0,186,273
